"name","size"
"typeB_akita_2020_09.zip",104244004
"typeB_miyagi_2020_09.zip",567584932
"typeB_iwate_2020_09.zip",668478587
"typeB_aomori_2020_09.zip",432893814
"typeB_aichi_2020_09.zip",368207849
"typeB_shizuoka_2020_09.zip",328172754
"typeB_gifu_2020_09.zip",166101072
"typeB_fukui_2020_09.zip",244429174
"typeB_ishikawa_2020_09.zip",350977645
"typeB_toyama_2020_09.zip",386802531
"typeB_niigata_2020_09.zip",548479059
"typeB_nagano_2020_09.zip",705544957
"typeB_yamanashi_2020_09.zip",104691225
"typeB_kanagawa_2020_09.zip",1606258711
"typeB_tokyo_2020_09.zip",1200745446
"typeB_hiroshima_2020_09.zip",187902549
"typeB_okayama_2020_09.zip",228379772
"typeB_shimane_2020_09.zip",246512689
"typeB_tottori_2020_09.zip",293689649
"typeB_wakayama_2020_09.zip",341829040
"typeB_nara_2020_09.zip",764442513
"typeB_hyogo_2020_09.zip",502087731
"typeB_osaka_2020_09.zip",1178077400
"typeB_kyoto_2020_09.zip",604947119
"typeB_shiga_2020_09.zip",286186889
"typeB_mie_2020_09.zip",235290503
"typeB_okinawa_2020_09.zip",355700443
"typeB_kagoshima_2020_09.zip",467385100
"typeB_miyazaki_2020_09.zip",390886691
"typeB_oita_2020_09.zip",375363362
"typeB_kumamoto_2020_09.zip",601085041
"typeB_nagasaki_2020_09.zip",134062681
"typeB_saga_2020_09.zip",181259043
"typeB_fukuoka_2020_09.zip",1285257001
"typeB_kochi_2020_09.zip",269299756
"typeB_ehime_2020_09.zip",404979300
"typeB_kagawa_2020_09.zip",175621754
"typeB_tokushima_2020_09.zip",167022381
"typeB_yamaguchi_2020_09.zip",182867438
"typeB_kushiro_2020_10.zip",325492908
"typeB_asahikawa_2020_10.zip",288097331
"typeB_hakodate_2020_10.zip",247333506
"typeB_sapporo_2020_10.zip",1192874141
"typeB_ibaraki_2020_10.zip",840185655
"typeB_tochigi_2020_10.zip",159227205
"typeB_fukushima_2020_10.zip",307042622
"typeB_yamagata_2020_10.zip",380459785
"typeB_akita_2020_10.zip",106731179
"typeB_miyagi_2020_10.zip",587452079
"typeB_iwate_2020_10.zip",686427748
"typeB_aomori_2020_10.zip",451848274
"typeB_kitami_2020_10.zip",196333055
"typeB_saitama_2020_10.zip",751352976
"typeB_tokyo_2020_10.zip",1231455060
"typeB_aichi_2020_10.zip",378823396
"typeB_shizuoka_2020_10.zip",338969386
