"name","size"
"typeB_oita_2020_07.zip", 372.55M
"typeB_kumamoto_2020_07.zip", 594.9M
"typeB_nagasaki_2020_07.zip", 132.45M
"typeB_saga_2020_07.zip", 180.44M
"typeB_fukuoka_2020_07.zip",   1.24G
"typeB_hakodate_2020_08.zip", 240.83M
"typeB_sapporo_2020_08.zip",   1.12G
"typeB_kitami_2020_08.zip", 186.91M
"typeB_kushiro_2020_08.zip", 312.63M
"typeB_asahikawa_2020_08.zip", 273.61M
"typeB_tochigi_2020_08.zip", 147.96M
"typeB_ibaraki_2020_08.zip", 799.08M
"typeB_fukushima_2020_08.zip", 295.3M
"typeB_yamagata_2020_08.zip", 362.28M
"typeB_akita_2020_08.zip", 100.81M
"typeB_miyagi_2020_08.zip", 563.11M
"typeB_iwate_2020_08.zip", 659.62M
"typeB_aomori_2020_08.zip", 433.31M
"typeB_yamanashi_2020_08.zip", 105.34M
"typeB_kanagawa_2020_08.zip",   1.54G
"typeB_tokyo_2020_08.zip",   1.15G
"typeB_chiba_2020_08.zip", 675.19M
"typeB_saitama_2020_08.zip", 723.13M
"typeB_gumma_2020_08.zip", 488.68M
"typeB_ishikawa_2020_08.zip", 346.79M
"typeB_toyama_2020_08.zip", 381.03M
"typeB_niigata_2020_08.zip", 540.03M
"typeB_nagano_2020_08.zip", 698.5M
"typeB_mie_2020_08.zip", 231.15M
"typeB_osaka_2020_08.zip",   1.13G
"typeB_shiga_2020_08.zip", 284.65M
"typeB_shizuoka_2020_08.zip", 324.26M
"typeB_fukui_2020_08.zip", 241.99M
"typeB_aichi_2020_08.zip", 361.76M
"typeB_gifu_2020_08.zip", 163.46M
"typeB_kyoto_2020_08.zip", 594.19M
"typeB_tottori_2020_08.zip", 289.79M
"typeB_wakayama_2020_08.zip", 337.97M
"typeB_okayama_2020_08.zip", 221.43M
"typeB_hyogo_2020_08.zip", 497.11M
"typeB_shimane_2020_08.zip", 244.26M
"typeB_nara_2020_08.zip", 752.62M
"typeB_kagawa_2020_08.zip", 173.26M
"typeB_kochi_2020_08.zip", 266.99M
"typeB_yamaguchi_2020_08.zip", 180.61M
"typeB_ehime_2020_08.zip", 401.1M
"typeB_tokushima_2020_08.zip", 164.67M
"typeB_hiroshima_2020_08.zip", 185.52M
"typeB_okinawa_2020_08.zip", 352.12M
"typeB_kagoshima_2020_08.zip", 463.1M
"typeB_miyazaki_2020_08.zip", 389.82M
"typeB_oita_2020_08.zip", 372.01M
"typeB_kumamoto_2020_08.zip", 591.55M
"typeB_nagasaki_2020_08.zip", 132.41M
"typeB_saga_2020_08.zip", 179.1M
"typeB_fukuoka_2020_08.zip",   1.24G
"typeB_kitami_2020_09.zip", 180.91M
"typeB_kushiro_2020_09.zip", 302.15M
"typeB_asahikawa_2020_09.zip", 265.91M
"typeB_hakodate_2020_09.zip", 231.81M
"typeB_sapporo_2020_09.zip",   1.08G
